연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소,개최방식
2023,서울특별시,-,서울뮤직페스티벌,10.20~10.22,서울시 문화예술과,2019,1180,0,1180.0,0.0,문화예술,지자체,11.0,10.0,1.0,난지한강공원,혼합형
2023,서울특별시,-,차 없는 잠수교 뚜벅뚜벅 축제,"-상반기:4.30.~7.2.  
매주 일요일(10회)
-하반기:9.3.~11.12. 매주 일요일(10회)
 * 10. 1.(일) : 추석연휴 제외",서울시 한강사업본부,2022,1368,0,1368.0,0.0,문화예술,지자체,520.0,520.0,0.0,"잠수교
(반포한강공원)",대면
2023,서울특별시,-,2023 한강페스티벌,"봄(5.12.~5.14.).
여름(7.28.~8.13.),
가을(10.14.~10.21.),
겨울(12.1.~12.25.)",서울시 한강사업본부,2013,954,0,954.0,0.0,문화예술,지자체,77.0,77.0,0.0,한강 수상 및 11개 한강공원 일대,대면
2023,서울특별시,용산구,제25회 서울드럼페스티벌,05.26.~05.27.,서울시 문화예술과,1999,560,0,560.0,0.0,문화예술,지자체,14.0,14.0,0.0,노들섬,대면
2023,서울특별시,송파구,"2023 석촌호수의 가을과 겨울, 그리고 루미나리에",10.27.~12.31.(예정),송파구,2016,95,0,95.0,0.0,문화예술,자치구,201.0,200.0,1.0,석촌호수,대면
2023,서울특별시,송파구,2023 커피 페스티벌,10.7.~10.8.(예정),"송파구, 한국경제신문",2017,0,0,0.0,0.0,문화예술,공동주최,101.0,100.0,1.0,잠실 롯데월드타워 잔디광장,대면
2023,서울특별시,"종로구, 중구",제4회 2023서울도시건축비엔날레,09.01.~10.29.,서울시 건축기획과,2017,6054,0,6054.0,0.0,문화예술,지자체,700.0,650.0,50.0,"열린송현녹지광장, 서울도시건축전시관, 서울시청(시민청)",대면
2023,서울특별시,중구,2023 제15회 서울건축문화제,09.01.~09.30.(예정),서울시 건축기획과,2009,297,0,297.0,0.0,문화예술,지자체,52.0,52.0,0.0,서울도시건축전시관 등,대면
2023,서울특별시,종로구,월간종로축제,09.~10.,종로구청 문화과,2023,200,0,200.0,0.0,문화예술,-,180.0,180.0,0.0,미정,대면
2023,서울특별시,종로구,종로한복축제,09.22.~09.23.,종로문화재단,2016,100,0,100.0,0.0,전통역사,재단법인,158.0,158.0,0.0,광화문광장,대면
2023,서울특별시,종로구,자문밖 문화축제,09.09.~09.11.,자문밖문화포럼,2023,100,0,60.0,0.0,문화예술,사단법인,3.0,3.0,0.0,자문밖 일대,혼합형
2023,서울특별시,종로구,인사동 엔틱 & 아트페어,08.~10.,(사)인사동전통문화보존회,2023,270,0,270.0,0.0,전통역사,사단법인,10.0,10.0,0.0,인사동 일대,대면
2023,서울특별시,종로구,국악대축제,09.17.,공모 예정,2006,40,0,40.0,0.0,전통역사,-,3.0,3.0,0.0,남인사마당(예정),대면
