모텔명,영암왕인문화축제,화순고인돌과함께하는국화향연,정남진장흥물축제,뱀부페스티벌,황룡강가을꽃축제,영광불갑산상사화축제,순천푸드앤아트페스티벌,곡성세계장미축제,대한민국국향대전,목포항구축제,국제남도음식문화큰잔치,황룡강(洪)길동무꽃길축제,함평나비대축제,해남미남축제,월출산국화축제,명량대첩축제,진도신비의바닷길축제,대한민국마한문화제,영광법성포단오제,무안연꽃축제,무안YD페스티벌,황토갯벌축제,섬겨울꽃축제,섬튤립축제,담양산타축제,청산도슬로걷기축제,진도개페스티벌,고흥유자석류축제,꽃무릇큰잔치,청정완도가을섬여행,고흥우주항공축제,곡성심청어린이대축제,마한축제,영암무화과축제,대한민국난명품대제전,녹동바다불꽃축제,섬수국축제,천년나주목읍성문화축제,곡성아이스크림페스티벌,백양단풍축제,땅끝매화축제,송호해변여름축제,구례자연드림뮤직페스티벌,회령포문화축제,진도문화예술제,용면추월산벚꽃축제,지리산남악제및군민의날행사,화엄음악제,오시아노뮤직페스티벌,구례동편소리축제,고서포도축제,장흥표고버섯축제,적벽문화축제,지리산피아골단풍축제,장평명품호두축제,축령산편백산소축제,백운산국사봉철쭉축제,유달산봄축제,여수영취산진달래체험행사,광양전어축제,광양K-POP슈퍼페스티벌,여수밤바다불꽃축제,여수거북선축제,거문도백도은빛바다체험행사,광양동백축제,여수동동북축제,완도장보고수산물축제,광양매화축제,영광찰보리문화축제,여수여자만갯벌노을체험행사,영산포홍어축제,여수향일암일출제,어울림음악회,광양전통숯불구이축제,구례300리벚꽃축제,무안겨울숭어축제,운주문화축제,보성다향대축제,서편제보성소리축제,율포해변불꽃축제,보성전어축제,벌교꼬막&문학축제,보성차밭빛축제,봄꽃과함께하는화순고인돌축제,화순캠핑뮤직페스티벌,화순고인돌별빛소나타,동구리호수공원봄축제,정남진장흥키조개축제,한여름밤의별빛달빛축제,강진청자축제,강진성전월출산봄소풍가는날,강진금곡사벚꽃삼십리길축제,전라병영성축제,마량미항찰전어축제,강진만춤추는갈대축제,달마고도힐링축제,땅끝해남어린이공룡대축제,땅끝해넘이해맞이축제,구례산수유꽃축제,백아산철쭉제
나주 그랜드 호텔,39990,17269,51291,44006,38135,42833,84803,70628,28780,50408,123019,37851,29115,69802,33328,80196,101927,20166,58291,35554,43168,53056,66562,80347,44412,119299,92293,104785,39484,98217,127043,70881,20166,50060,27570,117592,101413,8528,69289,57998,67652,97389,89769,77309,92767,54704,127043,95718,78085,89791,33743,33517,36897,111612,45634,47627,104663,51768,116397,109009,101917,122381,123019,,95219,115057,99531,118164,49245,108256,9234,146286,35215,89124,87527,55654,22302,60578,53878,66387,66444,73613,60578,17269,17269,17269,23747,65388,43935,67710,38814,48115,42527,74645,52778,91144,74716,99368,91255,51274
나주 LAKE 45 호텔,39272,18245,51979,44328,37845,42543,85125,70950,28490,49690,121607,37561,28825,70208,32610,79478,101209,19448,58001,34836,42450,52766,65844,80057,44734,119705,91575,105761,39194,98623,128019,71203,19448,49342,27280,118568,100695,8354,69611,57708,66934,97795,90091,77997,92049,55026,128019,96040,77367,90113,34065,33923,37219,111934,46610,47337,104985,51050,114985,109331,102239,120969,121607,,95541,113645,99937,118486,48955,106844,8944,144874,34925,89446,87849,55364,23278,61554,54854,67363,67420,74589,61554,18245,18245,18245,24069,66076,44257,68116,39220,48521,42933,75051,53184,91550,73998,99774,91577,51596
나주 브리즈 무인호텔,33899,24841,49362,48080,39029,38617,90895,76527,21618,43891,127377,38720,21953,68563,27237,73679,95410,14075,54075,29037,36651,45894,60045,73185,49068,118060,85776,112357,35268,96978,134615,76780,14075,43543,20408,125164,94896,2521,75188,58867,61561,96150,95668,75380,86250,58593,134615,101810,71568,95883,39642,31306,42989,117704,45782,48521,110755,45251,120755,115101,108009,126739,127377,,101311,119415,98292,124256,45029,112614,2009,150644,31924,95216,93619,48492,26601,62249,58277,68058,68115,81185,62249,24841,24841,24841,29839,63459,48491,66471,37575,46876,40316,73406,51539,89905,68625,98129,97154,57366
나주 호텔 드림,39694,18121,52401,44204,37839,42537,85001,70826,28484,50112,121483,37555,28819,70630,33032,79900,101631,19870,57995,35258,42872,52760,66266,80051,44610,120127,91997,105637,39188,99045,127895,71079,19870,49764,27274,118444,101117,8230,69487,57702,67356,98217,89967,78419,92471,54902,127895,95916,77789,89989,33941,34345,37095,111810,46486,47331,104861,51472,114861,109207,102115,120845,121483,,95417,113521,100359,118362,48949,106720,8938,144750,34919,89322,87725,55358,23154,61430,54730,67239,67296,74465,61430,18121,18121,18121,23945,66498,44133,68538,39642,48943,43355,75473,53606,91972,74420,100196,91453,51472
나주 숲 무인호텔,37675,20496,50382,46428,38207,41467,87418,73050,25718,48093,123900,37923,26053,68611,31013,77881,99612,17851,56925,33239,40853,49994,64247,77285,46834,118108,89978,108012,38118,97026,130270,73303,17851,47745,24508,120819,99098,6086,71711,58070,65337,96198,92191,76400,90452,57126,130270,98333,75770,92406,36165,32326,39512,114227,45872,47699,107278,49453,117278,111624,104532,123262,123900,,97834,115938,98340,120779,47879,109137,6172,147167,35287,91739,90142,52592,22540,62339,57105,68148,68205,76840,62339,20496,20496,20496,26362,64479,46357,66519,37623,46924,41336,73454,51587,89953,72401,98177,93677,53889
나주 라온팰리스 호텔,39326,18304,52033,44387,37899,42597,85184,71009,28544,49744,121666,37615,28879,70262,32664,79532,101263,19502,58055,34890,42504,52820,65898,80111,44793,119759,91629,105820,39248,98677,128078,71262,19502,49396,27334,118627,100749,8398,69670,57762,66988,97849,90150,78051,92103,55085,128078,96099,77421,90172,34124,33977,37278,111993,46631,47391,105044,51104,115044,109390,102298,121028,121666,,95600,113704,99991,118545,49009,106903,8998,144933,34979,89505,87908,55418,23299,61613,54913,67422,67479,74648,61613,18304,18304,18304,24128,66130,44316,68170,39274,48575,42987,75105,53238,91604,74052,99828,91636,51655
나주 듀플렉스 레지던스 호텔,40037,17176,51198,44066,38182,42880,84863,70688,28827,50455,122926,37898,29162,69709,33375,80243,101974,20213,58338,35601,43215,53103,66609,80394,44472,119206,92340,104692,39531,98124,126950,70941,20213,50107,27617,117499,101460,8575,69349,58045,67699,97296,89829,77216,92814,54764,126950,95778,78132,89851,33803,33424,36957,111672,45541,47674,104723,51815,116304,109069,101977,122288,122926,,95279,114964,99438,118224,49292,108163,9281,146193,35262,89184,87587,55701,22209,60485,53785,66294,66351,73520,60485,17176,17176,17176,23807,65295,43995,67617,38721,48022,42434,74552,52685,91051,74763,99275,91315,51334
나주 마루오호텔,39198,18176,51905,44259,37771,42469,85056,70881,28416,49616,121538,37487,28751,70134,32536,79404,101135,19374,57927,34762,42376,52692,65770,79983,44665,119631,91501,105692,39120,98549,127950,71134,19374,49268,27206,118499,100621,8270,69542,57634,66860,97721,90022,77923,91975,54957,127950,95971,77293,90044,33996,33849,37150,111865,46503,47263,104916,50976,114916,109262,102170,120900,121538,,95472,113576,99863,118417,48881,106775,8870,144805,34851,89377,87780,55290,23171,61485,54785,67294,67351,74520,61485,18176,18176,18176,24000,66002,44188,68042,39146,48447,42859,74977,53110,91476,73924,99700,91508,51527
나주 트럼프 무인텔,33458,25520,48921,48069,39018,38462,91574,76549,21068,43450,128056,38709,21403,68122,26796,73238,94969,13634,53920,28596,36210,45344,59604,72635,49057,117619,85335,113036,35113,96537,135294,76802,13634,43102,19858,125843,94455,2510,75210,58856,61120,95709,95690,74939,85809,58582,135294,102489,71127,96562,39664,30865,43668,118383,45341,48510,111434,44810,121434,115780,108688,127418,128056,,101990,120094,97851,124935,44874,113293,1568,151323,31769,95895,94298,47942,27144,61808,57836,67617,67674,81864,61808,25520,25520,25520,30518,63018,48480,66030,37134,46435,39875,72965,51098,89464,68184,97688,97176,58045
영광 팅커벨 무인호텔,82903,72146,101548,66537,43040,24142,135028,97994,39396,76590,171510,43496,39359,114630,77760,108273,130004,62040,832,65753,71447,41662,78153,69925,67525,169906,120370,159662,30744,148824,181920,98247,62040,78137,39588,172469,125302,50380,96655,53610,98423,139139,117135,127566,120844,70340,181920,127958,106162,125233,68761,83492,83818,147054,97968,40784,154888,77434,164793,159234,152142,170872,171510,,145444,163548,150138,156336,16901,156747,54195,194777,31094,139349,122969,41306,78812,115455,108755,121264,121321,124620,115455,72146,72146,72146,70693,115645,66948,116994,88098,97399,92027,123929,102062,132894,107663,141118,118621,88583
